,Unnamed: 0,budget,homepage,imdb_id,popularity,revenue,runtime,status,vote_average,Horror,Foreign,Documentary,Romance,Animation,Adventure,Science Fiction,Mystery,Fantasy,Thriller,Drama,War,Western,Action,Music,History,Family,Comedy,Crime,Unnamed: 28,Tiếng Việt,ภาษาไทย,ਪੰਜਾਬੀ,Slovenčina,Français,Português,广州话 / 廣州話,қазақ,Polski,shqip,עִבְרִית,Română,No Language,日本語,Íslenska,Bosanski,普通话,suomi,?????,Latin,한국어/조선말,Srpski,తెలుగు,ελληνικά,Magyar,Afrikaans,বাংলা,svenska,Dansk,Norsk,தமிழ்,Bahasa indonesia,Pусский,فارسی,български език,English,Český,Український,العربية,Deutsch,Català,हिन्दी,Nederlands,Bamanankan,Esperanto,Español,Italiano,اردو,Somali,Türkçe,pt,hi,te,ar,th,ta,tr,cn,kn,it,is,pl,sv,fa,he,ur,nl,no,fr,ro,zh,en,es,ja,fi,ru,xx,ko,da,ml,de,mr,hu,release_year,Big_six_bool,poster_num_persons,poster_num_objects,poster_anger,poster_anticipation,poster_joy,poster_trust,poster_fear,poster_surprise,poster_sadness,poster_disgust
706,709,4000000,0,tt3253930,11.127717,5169755.0,105.0,1,7.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,0.0,1,0,0.0,0.5576883127674602,0.24714362873405626,0.0,0.1866301051144626,0.00853795338402094,0.0,0.0
707,710,50000000,1,tt2262227,10.337994,97437106.0,95.0,1,7.3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,1.0,1,0,0.0456941604180868,0.35555555555555557,0.04985230629402409,0.0,0.5488979777323336,0.0,0.0,0.0
708,711,0,0,tt1638002,14.566103,4439431.0,102.0,1,7.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,1,0,0.0,0.30415101999391053,0.10593727798640008,0.0,0.5899117020196895,0.0,0.0,0.0
709,712,0,0,tt2992146,14.164519,72287783.0,133.0,1,5.9,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,0.0,1,0,0.0,0.0,0.0,0.0,0.6115014571439977,0.2311669128508124,0.15733163000518982,0.0
710,713,0,1,tt3104818,3.5243269999999995,28208.0,104.0,1,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,3,0,0.0,0.2072684448668416,0.530154335654222,0.0,0.21187578769033696,0.039978512840643785,0.0,0.01072291894795562
711,714,15000000,1,tt0470752,14.14078,36869414.0,108.0,1,7.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,0.0,1,0,0.0,0.04085072732191539,0.03246415416311156,0.0,0.7065531808627973,0.22013193765217573,0.0,0.0
712,715,0,1,tt3060492,3.402261,8251.0,100.0,1,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,2,0,0.6404496708210841,0.0,0.10651732847501139,0.0,0.22193697983520352,0.0,0.0,0.03109602086870109
713,716,0,0,tt2473794,6.328696,5405500.0,150.0,1,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,1,0,0.15378217821782178,0.04835643564356436,0.5503366336633664,0.0,0.2271881188118812,0.0,0.0,0.020336633663366337
714,717,3600000,0,tt1403214,4.6457239999999995,24267.0,120.0,1,6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,0.0,3,0,0.10704165785578347,0.032353563121167266,0.48447874814971453,0.0,0.03692112497356735,0.2270035948403468,0.09135123704800169,0.020850074011418904
715,718,24000000,0,tt1100089,8.10357,12096300.0,134.0,1,6.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,3,0,0.0,0.08027930018919077,0.0067094458855883445,0.0,0.913011253925221,0.0,0.0,0.0
716,719,8000000,1,tt2004432,6.842107,9630444.0,106.0,1,5.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,0.0,1,0,0.0,0.15481047253138988,0.11611280548183943,0.0,0.7290767219867708,0.0,0.0,0.0
717,720,80000000,1,tt1762399,8.883866000000003,126546518.0,87.0,1,5.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,0.0,0,1,0.0,0.25501944037223534,0.11313659251705016,0.0,0.5684874753011664,0.0633564918095481,0.0,0.0
718,721,0,1,tt1894561,2.490032,120680.0,92.0,1,5.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,0,0,0.0,0.3469445781024452,0.2131796509339049,0.0,0.17072743974454313,0.1832815712348541,0.05135383404050566,0.03451292594374699
719,722,0,0,tt1198156,6.800456,11486.0,104.0,1,7.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,3,0,0.015542240127609972,0.2280210229248042,0.4831182641771815,0.0,0.19026973966747784,0.0,0.0,0.08304873310292643
720,723,0,1,tt2870808,4.782116,8265.0,95.0,1,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,0.0,1,0,0.0,0.3007993811242909,0.0,0.0,0.4093819838404676,0.28981863503524147,0.0,0.0
721,724,30000000,1,tt1966566,0.5951960000000001,68129518.0,131.0,1,5.7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,0.0,2,0,0.0,0.03828973884860699,0.014314503563044065,0.0,0.8963704734797332,0.05102528410861571,0.0,0.0
